feature_name,performance_drop,ablation_correlation,ablation_directional_accuracy
sma_50,-0.04296743078157306,0.04939166083931923,0.501983106136322
sma_20,-0.06166085181757808,0.06808508187532425,0.5023797154426575
sma_200,-0.07206957368180156,0.07849380373954773,0.5113604068756104
volume_trend,-0.06405721185728908,0.07048144191503525,0.5129469037055969
volatility_60,-0.07522427616640925,0.08164850622415543,0.5108504891395569
RSI_14,-0.06188238738104701,0.06830661743879318,0.5028896927833557
price_vs_sma50,-0.025394588243216276,0.03181881830096245,0.5021530985832214
momentum_20,-0.05018152995035052,0.056605760008096695,0.5068275928497314
volatility_20,-0.054212122689932585,0.06063635274767876,0.499065101146698
log_return_20,-0.07914028642699122,0.0855645164847374,0.5117570161819458
